Prompt ID,Demonstration IDs in prompt,Example ID,Loss of correct answer,Correct prediction
63,[0],1,0.857421875,0
63,[0],2,2.271484375,0
63,[0],3,0.2431640625,0
63,[0],4,0.25439453125,0
63,[0],5,0.488037109375,0
63,[0],6,0.95751953125,0
63,[0],7,0.2607421875,0
63,[0],8,0.5478515625,0
63,[0],9,0.002399444580078125,1
63,[0],10,1.60546875,0
63,[0],11,1.9482421875,0
63,[0],12,0.52197265625,0
63,[0],13,0.452880859375,0
63,[0],14,0.428466796875,1
63,[0],15,0.5478515625,0
63,[0],16,0.87158203125,0
63,[0],17,1.8994140625,0
63,[0],18,0.1793212890625,1
63,[0],19,0.52783203125,0
63,[0],20,1.09765625,0
63,[0],21,0.74560546875,0
63,[0],22,0.315185546875,1
63,[0],23,0.75048828125,0
63,[0],24,0.303466796875,0
63,[0],25,0.478515625,0
63,[0],26,0.66796875,0
63,[0],27,1.23046875,0
63,[0],28,2.994140625,0
63,[0],29,1.9287109375,0
63,[0],30,0.57373046875,0
63,[0],31,0.2822265625,1
63,[0],32,1.7763671875,0
63,[0],33,0.254150390625,1
63,[0],34,0.388671875,0
63,[0],35,1.822265625,0
63,[0],36,1.0205078125,0
63,[0],37,0.29345703125,1
63,[0],38,1.4140625,0
63,[0],39,3.677734375,0
63,[0],40,0.60009765625,0
63,[0],41,6.49609375,0
63,[0],42,0.537109375,0
63,[0],43,1.2431640625,0
63,[0],44,1.365234375,0
63,[0],45,2.26953125,0
63,[0],46,0.8583984375,0
63,[0],47,0.6328125,0
63,[0],48,0.421142578125,0
63,[0],49,0.2261962890625,1
63,[0],50,0.73095703125,0
63,[0],51,1.630859375,0
63,[0],52,0.7333984375,0
63,[0],53,0.433349609375,1
63,[0],54,0.193359375,1
63,[0],55,0.52685546875,0
63,[0],56,0.311279296875,0
63,[0],57,0.1690673828125,0
63,[0],58,1.23046875,0
63,[0],59,0.303466796875,1
63,[0],60,0.184326171875,1
63,[0],61,0.65185546875,0
63,[0],62,0.069580078125,0
63,[0],63,0.1856689453125,1
63,[0],64,0.453369140625,0
63,[0],65,0.56689453125,0
63,[0],66,0.34375,0
63,[0],67,0.63525390625,0
63,[0],68,0.72705078125,0
63,[0],69,0.52099609375,0
63,[0],70,2.078125,0
63,[0],71,0.4140625,0
63,[0],72,0.49609375,0
63,[0],73,0.8564453125,0
63,[0],74,0.366455078125,0
63,[0],75,0.429931640625,0
63,[0],76,0.53759765625,0
63,[0],77,0.48046875,0
63,[0],78,0.2069091796875,0
63,[0],79,0.3388671875,1
63,[0],80,1.021484375,0
63,[0],81,0.425048828125,0
63,[0],82,0.83740234375,0
63,[0],83,0.165771484375,1
63,[0],84,1.455078125,0
63,[0],85,2.697265625,0
63,[0],86,0.440185546875,0
63,[0],87,0.5478515625,0
63,[0],88,1.2958984375,0
63,[0],89,1.00390625,0
63,[0],90,0.2890625,1
63,[0],91,1.419921875,0
63,[0],92,0.234130859375,1
63,[0],93,1.2841796875,0
63,[0],94,1.1728515625,0
63,[0],95,0.576171875,0
63,[0],96,0.1722412109375,1
63,[0],97,1.2099609375,0
63,[0],98,2.126953125,0
63,[0],99,0.31689453125,1
0,[30],0,0.50341796875,0
0,[30],1,0.87744140625,0
0,[30],2,2.037109375,0
0,[30],3,0.2330322265625,1
0,[30],4,0.1861572265625,1
0,[30],5,0.5908203125,0
0,[30],6,1.970703125,0
0,[30],7,0.40087890625,0
0,[30],8,0.52587890625,0
0,[30],9,0.004253387451171875,1
0,[30],10,1.5400390625,0
0,[30],11,2.068359375,0
0,[30],12,0.58349609375,0
0,[30],13,0.348876953125,0
0,[30],14,0.361328125,1
0,[30],15,0.736328125,0
0,[30],16,1.1845703125,0
0,[30],17,1.48828125,0
0,[30],18,0.2587890625,1
0,[30],19,0.607421875,0
0,[30],20,1.248046875,0
0,[30],21,0.99560546875,0
0,[30],22,0.322509765625,1
0,[30],23,0.80224609375,0
0,[30],24,0.264892578125,0
0,[30],25,0.5849609375,0
0,[30],26,0.7119140625,0
0,[30],27,1.916015625,0
0,[30],28,3.041015625,0
0,[30],29,1.755859375,0
0,[30],31,0.406982421875,1
0,[30],32,2.388671875,0
0,[30],33,0.2481689453125,0
0,[30],34,0.431396484375,0
0,[30],35,1.287109375,0
0,[30],36,1.400390625,0
0,[30],37,0.322265625,1
0,[30],38,1.55078125,0
0,[30],39,1.0400390625,0
0,[30],40,0.76708984375,0
0,[30],41,6.640625,0
0,[30],42,1.310546875,0
0,[30],43,1.3017578125,0
0,[30],44,1.560546875,0
0,[30],45,2.0703125,0
0,[30],46,1.1943359375,0
0,[30],47,0.81298828125,0
0,[30],48,0.4306640625,0
0,[30],49,0.2369384765625,1
0,[30],50,0.74658203125,0
0,[30],51,1.7587890625,0
0,[30],52,0.6015625,0
0,[30],53,0.324462890625,1
0,[30],54,0.1558837890625,1
0,[30],55,0.59814453125,0
0,[30],56,0.6083984375,0
0,[30],57,0.142333984375,0
0,[30],58,1.55859375,0
0,[30],59,0.373046875,0
0,[30],60,0.119140625,1
0,[30],61,0.6484375,0
0,[30],62,0.11431884765625,0
0,[30],63,0.1478271484375,1
0,[30],64,0.321533203125,0
0,[30],65,0.4140625,1
0,[30],66,0.38037109375,0
0,[30],67,0.60498046875,0
0,[30],68,0.52294921875,0
0,[30],69,0.53662109375,0
0,[30],70,1.83984375,0
0,[30],71,0.427001953125,0
0,[30],72,0.46484375,0
0,[30],73,1.119140625,0
0,[30],74,0.45263671875,0
0,[30],75,0.28564453125,0
0,[30],76,0.5625,0
0,[30],77,0.419921875,0
